     1→     1→// ══════════════════════════════════════════════════════════════════
     2→     2→// MIANX.AI — Development Seed Data
     3→     3→// Run: bun run src/database/seeds/seed.ts
     4→     4→// ══════════════════════════════════════════════════════════════════
     5→     5→
     6→     6→import { PrismaClient } from '@prisma/client'
     7→     7→
     8→     8→const prisma = new PrismaClient()
     9→     9→
    10→    10→async function main() {
   416→   416→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[0].id, role: 'assistant', content: 'Let me check your current flock data and vaccination schedules. Based on the Poultry OS domain data, I recommend scheduling Newcastle disease booster and infectious bronchitis vaccination for all active flocks this month.', model: 'gpt-4o-mini', provider: 'openai', tokensIn: 45, tokensOut: 38, latencyMs: 320 } }),
   417→   417→    // Convo 2 messages
   418→   418→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[1].id, role: 'user', content: 'Analyze our feed costs for last quarter' } }),
   419→   419→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[1].id, role: 'assistant', content: 'Based on your organization data, you have 2 active modules including Feed Management. The feed costs have been tracked across your active flocks. I recommend reviewing the feed formulation ratios — switching to a locally-sourced soy alternative could reduce costs by 12-15%.', model: 'gpt-4o-mini', provider: 'openai', tokensIn: 52, tokensOut: 56, latencyMs: 410 } }),
   420→   420→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[1].id, role: 'user', content: 'Which supplier has the best rates?' } }),
   421→   421→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[1].id, role: 'assistant', content: 'I don\'t have a supplier comparison tool available yet. However, I can search your audit logs for procurement records. Would you like me to do that?', model: 'gpt-4o-mini', provider: 'openai', tokensIn: 28, tokensOut: 34, latencyMs: 280 } }),
   422→   422→    // Convo 3 messages
   423→   423→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[2].id, role: 'user', content: 'Review our top 5 menu items for profitability' } }),
   424→   424→    prisma.aiMessage.create({ data: { conversationId: sampleConvos[2].id, role: 'assistant', content: 'Your restaurant has Menu Management and Order Management modules active. Based on the current data, I can see your organization is set up with USD currency. For a detailed profitability analysis, I\'d need access to cost and pricing data from the Menu module — which will be available once the domain data is fully integrated.', model: 'claude-haiku-4-20250414', provider: 'anthropic', tokensIn: 48, tokensOut: 62, latencyMs: 550 } }),
   425→   425→  ])
   426→   426→  console.log('  ✓ Created 7 sample messages across 3 conversations')
   427→   427→
   428→   428→  // ══════════════════════════════════════════════════════════════
   429→   429→  // AUTOMATION (Phase 5 — Event and Automation)
   430→   430→  // ══════════════════════════════════════════════════════════════
   431→   431→
   432→   432→  // ── Sample Events ──
   433→   433→  const sampleEvents = await Promise.all([
   434→   434→    prisma.event.create({
   435→   435→      data: { organizationId: orgs[0].id, eventType: 'poultry.flock.created', eventVersion: '1',
   436→   436→        domainId: domains[0].id, sourceType: 'user', actorType: 'user', actorId: profiles[0].userId,
   437→   437→        payload: JSON.stringify({ flockName: 'Batch A-101', shedId: 'shed-1', breed: 'Cobb-500', count: 5000 }),
   438→   438→        correlationId: 'corr-seed-001',
   439→   439→      },
   440→   440→    }),
   441→   441→    prisma.event.create({
   442→   442→      data: { organizationId: orgs[0].id, eventType: 'poultry.mortality.recorded', eventVersion: '1',
   443→   443→        domainId: domains[0].id, sourceType: 'system', actorType: 'system',
   444→   444→        causationId: 'evt-seed-001',
   445→   445→        payload: JSON.stringify({ flockId: 'flock-1', date: '2026-08-18', mortalityCount: 15, mortalityRate: 0.003, avgWeight: 2.1 }),
   446→   446→        correlationId: 'corr-seed-002',
   447→   447→      },
   448→   448→    }),
   449→   449→    prisma.event.create({
   450→   450→      data: { organizationId: orgs[1].id, eventType: 'restaurant.order.created', eventVersion: '1',
   451→   451→        domainId: domains[1].id, sourceType: 'user', actorType: 'user', actorId: profiles[0].userId,
   452→   452→        payload: JSON.stringify({ orderId: 'ORD-001', items: [{ name: 'Grilled Chicken', qty: 2, price: 25 }], total: 50 }),
   453→   453→        correlationId: 'corr-seed-003',
   454→   454→      },
   455→   455→    }),
   456→   456→    prisma.event.create({
   457→   457→      data: { organizationId: orgs[0].id, eventType: 'poultry.inventory.low', eventVersion: '1',
   458→   458→        domainId: domains[0].id, sourceType: 'system', actorType: 'system',
   459→   459→        causationId: 'evt-seed-002',
   460→   460→        payload: JSON.stringify({ itemId: 'feed-protein-001', currentStock: 50, threshold: 200, unit: 'kg' }),
   461→   461→        correlationId: 'corr-seed-002', status: 'delivered', deliveredAt: new Date(),
   462→   462→      },
   463→   463→    }),
   464→   464→    prisma.event.create({
   465→   465→      data: { organizationId: orgs[1].id, eventType: 'restaurant.inventory.low', eventVersion: '1',
   466→   466→        domainId: domains[1].id, sourceType: 'system', actorType: 'system',
   467→   467→        payload: JSON.stringify({ itemId: 'rice-basmati-001', currentStock: 5, threshold: 20, unit: 'kg' }),
   468→   468→      },
   469→   469→    }),
   470→   470→  ])
   471→   471→  console.log(`  ✓ Created ${sampleEvents.length} sample events`)
   472→   472→
   473→   473→  // ── Sample Workflows ──
   474→   474→  const sampleWorkflows = await Promise.all([
   475→   475→    prisma.workflow.create({
   476→   476→      data: {
   477→   477→        organizationId: orgs[0].id, name: 'Mortality Alert', slug: 'mortality-alert',
   478→   478→        description: 'Alert farm manager when mortality rate exceeds threshold',
   479→   479→        triggerType: 'event',
   480→   480→        triggerConfig: JSON.stringify({ eventType: 'poultry.mortality.recorded' }),
   481→   481→        conditions: JSON.stringify([{ field: 'payload.mortalityRate', operator: 'gt', value: 0.002 }]),
   482→   482→        steps: JSON.stringify([
   483→   483→          { id: 'check-threshold', name: 'Check Mortality Rate', type: 'condition', config: { field: 'payload.mortalityRate', operator: 'gt', value: 0.002 } },
   484→   484→          { id: 'analyze', name: 'AI Analysis', type: 'ai_decision', config: { prompt: 'Analyze this mortality event and provide a brief recommendation.', model: 'gpt-4o-mini', provider: 'openai' } },
   485→   485→          { id: 'notify', name: 'Notify Manager', type: 'action', config: { type: 'send_notification', params: { type: 'alert', title: 'Mortality Alert', body: 'Mortality rate exceeded threshold. AI analysis available.' } } },
   486→   486→        ]),
   487→   487→        retryPolicy: JSON.stringify({ maxAttempts: 2, backoffMs: 30000, maxBackoffMs: 300000 }),
   488→   488→        timeoutSeconds: 120,
   489→   489→        status: 'active',
   490→   490→      },
   491→   491→    }),
   492→   492→    prisma.workflow.create({
   493→   493→      data: {
   494→   494→        organizationId: orgs[0].id, name: 'Low Feed Inventory', slug: 'low-feed-inventory',
   495→   495→        description: 'Notify when feed stock falls below threshold',
   496→   496→        triggerType: 'event',
   497→   497→        triggerConfig: JSON.stringify({ eventType: 'poultry.inventory.low' }),
   498→   498→        conditions: JSON.stringify([{ field: 'payload.currentStock', operator: 'lt', value: 200 }]),
   499→   499→        steps: JSON.stringify([
   500→   500→          { id: 'check', name: 'Verify Stock Level', type: 'condition', config: { field: 'payload.currentStock', operator: 'lt', value: 200 } },
   501→   501→          { id: 'notify', name: 'Send Alert', type: 'action', config: { type: 'send_notification', params: { type: 'alert', title: 'Low Feed Stock', body: 'Feed inventory is below threshold. Consider reordering.' } } },
   502→   502→        ]),
   503→   503→        timeoutSeconds: 60,
   504→   504→        status: 'active',
   505→   505→      },
   506→   506→    }),
   507→   507→    prisma.workflow.create({
   508→   508→      data: {
   509→   509→        organizationId: orgs[1].id, name: 'New Order Notification', slug: 'new-order-notification',
   510→   510→        description: 'Notify kitchen staff when a new order is placed',
   511→   511→        triggerType: 'event',
   512→   512→        triggerConfig: JSON.stringify({ eventType: 'restaurant.order.created' }),
   513→   513→        steps: JSON.stringify([
   514→   514→          { id: 'notify-kitchen', name: 'Notify Kitchen', type: 'action', config: { type: 'send_notification', params: { type: 'info', title: 'New Order', body: 'A new order has been placed. Check kitchen display.' } } },
   515→   515→        ]),
   516→   516→        timeoutSeconds: 30,
   517→   517→        status: 'active',
   518→   518→      },
   519→   519→    }),
   520→   520→  ])
   521→   521→  console.log(`  ✓ Created ${sampleWorkflows.length} sample workflows`)
   522→   522→
   523→   523→  // ── Sample Job ──
   524→   524→  await prisma.job.create({
   525→   525→    data: { organizationId: orgs[0].id, type: 'send_notification', payload: JSON.stringify({ type: 'system', title: 'Daily Summary', body: 'This is a scheduled daily summary notification.' }), priority: 'low', status: 'completed', attempts: 1, runAt: new Date(), completedAt: new Date() },
   526→   526→  })
   527→   527→  await prisma.job.create({
   528→   528→    data: { organizationId: orgs[0].id, type: 'send_notification', payload: JSON.stringify({ type: 'system', title: 'Feed Check', body: 'Scheduled feed inventory check job.' }), priority: 'normal', scheduledAt: new Date(Date.now() + 86400000), status: 'pending' },
   529→   529→  })
   530→   530→  console.log('  ✓ Created 2 sample jobs')
   531→   531→
   532→   532→  // ══════════════════════════════════════════════════════════════
   533→   533→  // API & INTEGRATION (Phase 6 — API and Integration)
   534→   534→  // ══════════════════════════════════════════════════════════════
   535→   535→
   536→   536→  // ── Sample API Key ──
   537→   537→  const { createHash } = await import('crypto')
   538→   538→  const testApiKey = 'mk_live_' + 'a'.repeat(32)
   539→   539→  const testKeyHash = createHash('sha256').update(testApiKey).digest('hex')
   540→   540→  await prisma.apiKey.create({
   541→   541→    data: {
   542→   542→      organizationId: orgs[0].id, name: 'Development Key', prefix: 'aaaaaaaa',
   543→   543→      keyHash: testKeyHash, status: 'active', expiresAt: new Date(Date.now() + 365 * 86400000),
   544→   544→    },
   545→   545→  })
   546→   546→  console.log('  ✓ Created 1 sample API key')
   547→   547→
   548→   548→  // ── Sample Webhook ──
   549→   549→  await prisma.webhook.create({
   550→   550→    data: {
   551→   551→      organizationId: orgs[0].id, name: 'Slack Notifications',
   552→   552→      url: 'https://hooks.slack.com/services/T00/B00/xxx',
   553→   553→      secret: 'whsec_' + 'b'.repeat(24),
   554→   554→      eventTypes: JSON.stringify(['poultry.mortality.recorded', 'poultry.inventory.low', 'workflow.*']),
   555→   555→      status: 'active',
   556→   556→    },
   557→   557→  })
   558→   558→  console.log('  ✓ Created 1 sample webhook')
   559→   559→
   560→   560→  // ── Sample OAuth Connection ──
   561→   561→  await prisma.oAuthConnection.create({
   562→   562→    data: {
   563→   563→      organizationId: orgs[0].id, provider: 'google',
   564→   564→      externalAccountId: 'ga-12345', externalAccountName: 'Poultry Farm Co',
   565→   565→      accessToken: 'ya29.a0AfH6SMB...', refreshToken: '1//0dx...',
   566→   566→      tokenExpiresAt: new Date(Date.now() + 3600000),
   567→   567→      metadata: JSON.stringify({ scopes: ['readonly'] }),
   568→   568→      status: 'active',
   569→   569→    },
   570→   570→  })
   571→   571→  console.log('  ✓ Created 1 sample OAuth connection')
   572→   572→
   573→   573→  // ══════════════════════════════════════════════════════════════
   574→   574→  // BILLING (Phase 7 — Billing and Entitlements)
   575→   575→  // ══════════════════════════════════════════════════════════════
   576→   576→
   577→   577→  // ── Features ──
   578→   578→  const billingFeatures = await Promise.all([
   579→   579→    prisma.feature.create({ data: { key: 'domain.poultry', name: 'Poultry OS Domain', description: 'Full Poultry OS access', category: 'domain' } }),
   580→   580→    prisma.feature.create({ data: { key: 'domain.restaurant', name: 'Restaurant OS Domain', description: 'Full Restaurant OS access', category: 'domain' } }),
   581→   581→    prisma.feature.create({ data: { key: 'module.flock-management', name: 'Flock Management', description: 'Track flocks, batches, mortality', category: 'module' } }),
   582→   582→    prisma.feature.create({ data: { key: 'module.feed-management', name: 'Feed Management', description: 'Feed formulations, consumption tracking', category: 'module' } }),
   583→   583→    prisma.feature.create({ data: { key: 'module.menu-management', name: 'Menu Management', description: 'Menu items, categories, pricing', category: 'module' } }),
   584→   584→    prisma.feature.create({ data: { key: 'ai.assistant', name: 'AI Assistant', description: 'AI chat capability', category: 'ai' } }),
   585→   585→    prisma.feature.create({ data: { key: 'api.access', name: 'API Access', description: 'REST API access', category: 'platform' } }),
   586→   586→    prisma.feature.create({ data: { key: 'automation.workflows', name: 'Automation', description: 'Workflow engine access', category: 'platform' } }),
   587→   587→    prisma.feature.create({ data: { key: 'advanced.analytics', name: 'Advanced Analytics', description: 'Advanced reporting and analytics', category: 'addon' } }),
   588→   588→    prisma.feature.create({ data: { key: 'webhooks.custom', name: 'Custom Webhooks', description: 'Create custom webhooks', category: 'integration' } }),
   589→   589→  ])
   590→   590→  console.log(`  ✓ Created ${billingFeatures.length} features`)
   591→   591→
   592→   592→  // ── System Plans ──
   593→   593→  const starterPlan = await prisma.plan.create({
   594→   594→    data: { name: 'Starter', slug: 'starter', description: 'For small farms getting started', billingCycle: 'monthly', basePrice: 29, currency: 'USD', status: 'active', isSystem: true },
   595→   595→  })
   596→   596→  const growthPlan = await prisma.plan.create({
   597→   597→    data: { name: 'Growth', slug: 'growth', description: 'For scaling operations', billingCycle: 'monthly', basePrice: 99, currency: 'USD', status: 'active', isSystem: true },
   598→   598→  })
   599→   599→  const enterprisePlan = await prisma.plan.create({
   600→   600→    data: { name: 'Enterprise', slug: 'enterprise', description: 'For large multi-site operations', billingCycle: 'monthly', basePrice: 299, currency: 'USD', status: 'active', isSystem: true },
   601→   601→  })
   602→   602→  console.log('  ✓ Created 3 system plans')
   603→   603→
   604→   604→  // ── Plan Versions ──
   605→   605→  const planVersions = await Promise.all([
   606→   606→    prisma.planVersion.create({
   607→   607→      data: { planId: starterPlan.id, version: 1, name: 'Starter v1',
   608→   608→        features: JSON.stringify([
   609→   609→          { key: 'domain.poultry', name: 'Poultry OS', category: 'domain' },
   610→   610→          { key: 'module.flock-management', name: 'Flock Management', category: 'module' },
   611→   611→          { key: 'ai.assistant', name: 'AI Assistant', category: 'ai' },
   612→   612→        ]),
   613→   613→        limits: JSON.stringify([
   614→   614→          { key: 'members.active', value: 3, unit: 'member' },
   615→   615→          { key: 'api.requests', value: 5000, unit: 'request' },
   616→   616→          { key: 'ai.total_tokens', value: 100000, unit: 'token' },
   617→   617→        ]),
   618→   618→        seatAllowance: 3, aiTokenAllowance: 100000,
   619→   619→      },
   620→   620→    }),
   621→   621→    prisma.planVersion.create({
   622→   622→      data: { planId: growthPlan.id, version: 1, name: 'Growth v1',
   623→   623→        features: JSON.stringify([
   624→   624→          { key: 'domain.poultry', name: 'Poultry OS', category: 'domain' },
   625→   625→          { key: 'domain.restaurant', name: 'Restaurant OS', category: 'domain' },
   626→   626→          { key: 'module.flock-management', name: 'Flock Management', category: 'module' },
   627→   627→          { key: 'module.feed-management', name: 'Feed Management', category: 'module' },
   628→   628→          { key: 'module.menu-management', name: 'Menu Management', category: 'module' },
   629→   629→          { key: 'ai.assistant', name: 'AI Assistant', category: 'ai' },
   630→   630→          { key: 'api.access', name: 'API Access', category: 'platform' },
   631→   631→          { key: 'automation.workflows', name: 'Automation', category: 'platform' },
   632→   632→        ]),
   633→   633→        limits: JSON.stringify([
   634→   634→          { key: 'members.active', value: 10, unit: 'member' },
   635→   635→          { key: 'api.requests', value: 50000, unit: 'request' },
   636→   636→          { key: 'ai.total_tokens', value: 1000000, unit: 'token' },
   637→   637→        ]),
   638→   638→        seatAllowance: 10, aiTokenAllowance: 1000000,
   639→   639→      },
   640→   640→    }),
   641→   641→    prisma.planVersion.create({
   642→   642→      data: { planId: enterprisePlan.id, version: 1, name: 'Enterprise v1',
   643→   643→        features: JSON.stringify([
   644→   644→          { key: 'domain.poultry', name: 'Poultry OS', category: 'domain' },
   645→   645→          { key: 'domain.restaurant', name: 'Restaurant OS', category: 'domain' },
   646→   646→          { key: 'module.flock-management', name: 'Flock Management', category: 'module' },
   647→   647→          { key: 'module.feed-management', name: 'Feed Management', category: 'module' },
   648→   648→          { key: 'module.menu-management', name: 'Menu Management', category: 'module' },
   649→   649→          { key: 'ai.assistant', name: 'AI Assistant', category: 'ai' },
   650→   650→          { key: 'api.access', name: 'API Access', category: 'platform' },
   651→   651→          { key: 'automation.workflows', name: 'Automation', category: 'platform' },
   652→   652→          { key: 'advanced.analytics', name: 'Advanced Analytics', category: 'addon' },
   653→   653→          { key: 'webhooks.custom', name: 'Custom Webhooks', category: 'integration' },
   654→   654→        ]),
   655→   655→        limits: JSON.stringify([
   656→   656→          { key: 'members.active', value: 50, unit: 'member' },
   657→   657→          { key: 'api.requests', value: 500000, unit: 'request' },
   658→   658→          { key: 'ai.total_tokens', value: 10000000, unit: 'token' },
   659→   659→        ]),
   660→   660→        seatAllowance: 50, aiTokenAllowance: 10000000,
   661→   661→      },
   662→   662→    }),
   663→   663→  ])
   664→   664→  console.log(`  ✓ Created ${planVersions.length} plan versions`)
   665→   665→
   666→   666→  // ── Usage Meters ──
   667→   667→  const usageMeters = await Promise.all([
   668→   668→    prisma.usageMeter.create({ data: { key: 'api.requests', name: 'API Requests', unit: 'request', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'hard_limit', defaultLimit: 10000 } }),
   669→   669→    prisma.usageMeter.create({ data: { key: 'storage.bytes', name: 'Storage', unit: 'byte', meterType: 'gauge', aggregation: 'sum', resetCycle: 'never', overageBehavior: 'soft_limit', defaultLimit: 1000000000 } }),
   670→   670→    prisma.usageMeter.create({ data: { key: 'members.active', name: 'Active Members', unit: 'member', meterType: 'counter', aggregation: 'sum', resetCycle: 'never', overageBehavior: 'hard_limit' } }),
   671→   671→    prisma.usageMeter.create({ data: { key: 'ai.requests', name: 'AI Requests', unit: 'count', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'soft_limit' } }),
   672→   672→    prisma.usageMeter.create({ data: { key: 'ai.input_tokens', name: 'AI Input Tokens', unit: 'token', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'soft_limit' } }),
   673→   673→    prisma.usageMeter.create({ data: { key: 'ai.output_tokens', name: 'AI Output Tokens', unit: 'token', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'soft_limit' } }),
   674→   674→    prisma.usageMeter.create({ data: { key: 'ai.total_tokens', name: 'AI Total Tokens', unit: 'token', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'soft_limit' } }),
   675→   675→    prisma.usageMeter.create({ data: { key: 'ai.tool_calls', name: 'AI Tool Calls', unit: 'count', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'soft_limit' } }),
   676→   676→    prisma.usageMeter.create({ data: { key: 'ai.agent_runs', name: 'AI Agent Runs', unit: 'count', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'soft_limit' } }),
   677→   677→    prisma.usageMeter.create({ data: { key: 'messages.sent', name: 'Messages Sent', unit: 'message', meterType: 'counter', aggregation: 'sum', resetCycle: 'monthly', overageBehavior: 'hard_limit', defaultLimit: 1000 } }),
   678→   678→  ])
   679→   679→  console.log(`  ✓ Created ${usageMeters.length} usage meters`)
   680→   680→
   681→   681→  // ── Subscription for Poultry Farm Co (Growth plan, active) ──
   682→   682→  const now = new Date()
   683→   683→  const periodEnd = new Date(now.getFullYear(), now.getMonth() + 1, now.getDate())
   684→   684→  const subscription = await prisma.subscription.create({
   685→   685→    data: {
   686→   686→      organizationId: orgs[0].id,
   687→   687→      planId: growthPlan.id,
   688→   688→      planVersionId: planVersions[1].id, // Growth v1
   689→   689→      state: 'active',
   690→   690→      currentPeriodStart: now,
   691→   691→      currentPeriodEnd: periodEnd,
   692→   692→      seatCount: 4,
   693→   693→    },
   694→   694→  })
   695→   695→  console.log('  ✓ Created 1 active subscription (Growth)')
   696→   696→
   697→   697→  // ── Sample Usage Records ──
   698→   698→  await Promise.all([
   699→   699→    prisma.usageRecord.create({ data: { organizationId: orgs[0].id, meterKey: 'api.requests', quantity: 1250, unit: 'request', source: 'api', idempotencyKey: 'seed-api-req-1', occurredAt: new Date() } }),
   700→   700→    prisma.usageRecord.create({ data: { organizationId: orgs[0].id, meterKey: 'ai.total_tokens', quantity: 45000, unit: 'token', source: 'ai-chat', idempotencyKey: 'seed-ai-tok-1', occurredAt: new Date() } }),
   701→   701→    prisma.usageRecord.create({ data: { organizationId: orgs[0].id, meterKey: 'ai.requests', quantity: 23, unit: 'count', source: 'ai-chat', idempotencyKey: 'seed-ai-req-1', occurredAt: new Date() } }),
   702→   702→  ])
   703→   703→  console.log('  ✓ Created 3 sample usage records')
   704→   704→
   705→   705→  // ── Sample Invoice ──
   706→   706→  const invoiceLines = JSON.stringify([
   707→   707→    { type: 'base_plan', description: 'Growth (monthly)', unitPrice: 99, amount: 99 },
   708→   708→    { type: 'seats', description: 'Extra seats (1 x 9.90)', quantity: 1, unitPrice: 9.90, amount: 9.90 },
   709→   709→  ])
   710→   710→  await prisma.invoice.create({
   711→   711→    data: {
   712→   712→      organizationId: orgs[0].id, subscriptionId: subscription.id, invoiceNumber: 'INV-0001',
   713→   713→      status: 'paid', periodStart: new Date(now.getFullYear(), now.getMonth() - 1, now.getDate()), periodEnd: now,
   714→   714→      currency: 'USD', subtotal: 108.90, discount: 0, tax: 0, total: 108.90,
   715→   715→      lineItems: invoiceLines, issuedAt: new Date(now.getFullYear(), now.getMonth() - 1, now.getDate()), dueAt: new Date(now.getFullYear(), now.getMonth() - 1, now.getDate() + 30), paidAt: now,
   716→   716→    },
   717→   717→  })
   718→   718→  console.log('  ✓ Created 1 sample invoice')
   719→   719→
   720→   720→  // ══════════════════════════════════════════════════════════════
   721→   721→  // POULTRY BUSINESS DATA (Phase 10)
   722→   722→  // ══════════════════════════════════════════════════════════════
   723→   723→
   724→   724→  const poultryOrgId = orgs[0].id
   725→   725→
   726→   726→  // ── Farms ──
   727→   727→  const farms = await Promise.all([
   728→   728→    prisma.poultryFarm.create({ data: { organizationId: poultryOrgId, name: 'Main Farm', location: 'Lahore, Punjab', capacity: 50000, status: 'active', contactInfo: '+92-300-1234567', latitude: 31.5204, longitude: 74.3587 } }),
   729→   729→    prisma.poultryFarm.create({ data: { organizationId: poultryOrgId, name: 'North Farm', location: 'Rawalpindi, Punjab', capacity: 30000, status: 'active', contactInfo: '+92-301-7654321' } }),
   730→   730→  ])
   731→   731→
   732→   732→  // ── Sheds ──
   733→   733→  const sheds = await Promise.all([
   734→   734→    prisma.poultryShed.create({ data: { organizationId: poultryOrgId, farmId: farms[0].id, name: 'Shed A1', shedType: 'broiler', capacity: 10000, currentCount: 8500, temperature: 24.5, humidity: 65 } }),
   735→   735→    prisma.poultryShed.create({ data: { organizationId: poultryOrgId, farmId: farms[0].id, name: 'Shed A2', shedType: 'broiler', capacity: 10000, currentCount: 9200, temperature: 25.0, humidity: 60 } }),
   736→   736→    prisma.poultryShed.create({ data: { organizationId: poultryOrgId, farmId: farms[0].id, name: 'Shed L1', shedType: 'layer', capacity: 8000, currentCount: 7500, temperature: 23.0, humidity: 70 } }),
   737→   737→    prisma.poultryShed.create({ data: { organizationId: poultryOrgId, farmId: farms[1].id, name: 'Shed B1', shedType: 'broiler', capacity: 10000, currentCount: 0, temperature: null, humidity: null, status: 'inactive' } }),
   738→   738→  ])
   739→   739→
   740→   740→  // ── Flocks ──
   741→   741→  const flocks = await Promise.all([
   742→   742→    prisma.poultryFlock.create({ data: { organizationId: poultryOrgId, shedId: sheds[0].id, breed: 'Cobb 500', placementDate: new Date(Date.now() - 28 * 86400000), quantity: 10000, currentCount: 8500, status: 'growing', averageWeight: 1.85 } }),
   743→   743→    prisma.poultryFlock.create({ data: { organizationId: poultryOrgId, shedId: sheds[1].id, breed: 'Ross 308', placementDate: new Date(Date.now() - 21 * 86400000), quantity: 10000, currentCount: 9200, status: 'growing', averageWeight: 1.35 } }),
   744→   744→    prisma.poultryFlock.create({ data: { organizationId: poultryOrgId, shedId: sheds[2].id, breed: 'Hy-Line Brown', placementDate: new Date(Date.now() - 140 * 86400000), quantity: 8000, currentCount: 7500, status: 'laying', averageWeight: 2.1 } }),
   745→   745→  ])
   746→   746→
   747→   747→  // ── Feed Records ──
   748→   748→  const today = new Date()
   749→   749→  for (let d = 0; d < 7; d++) {
   750→   750→    const date = new Date(today.getTime() - d * 86400000)
   751→   751→    await Promise.all([
   752→   752→      prisma.poultryFeedRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[0].id, date, feedType: 'Broiler Starter', quantityKg: 420, costUsd: 210 } }),
   753→   753→      prisma.poultryFeedRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[1].id, date, feedType: 'Broiler Grower', quantityKg: 380, costUsd: 190 } }),
   754→   754→      prisma.poultryFeedRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[2].id, date, feedType: 'Layer Feed', quantityKg: 300, costUsd: 180 } }),
   755→   755→    ])
   756→   756→  }
   757→   757→
   758→   758→  // ── Health Records ──
   759→   759→  await Promise.all([
   760→   760→    prisma.poultryHealthRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[0].id, date: new Date(Date.now() - 27 * 86400000), type: 'vaccination', treatment: 'Newcastle Disease (Lasota)', veterinarian: 'Dr. Hassan', costUsd: 45, nextDueDate: new Date(Date.now() + 14 * 86400000) } }),
   761→   761→    prisma.poultryHealthRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[0].id, date: new Date(Date.now() - 14 * 86400000), type: 'vaccination', treatment: 'Infectious Bronchitis (H120)', veterinarian: 'Dr. Hassan', costUsd: 40, nextDueDate: new Date(Date.now() + 7 * 86400000) } }),
   762→   762→    prisma.poultryHealthRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[1].id, date: new Date(Date.now() - 5 * 86400000), type: 'treatment', treatment: 'Antibiotics for respiratory infection', veterinarian: 'Dr. Ahmed', costUsd: 85, notes: '5-day course, responded well' } }),
   763→   763→    prisma.poultryHealthRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[2].id, date: new Date(Date.now() - 10 * 86400000), type: 'checkup', treatment: 'Routine flock inspection', veterinarian: 'Dr. Hassan', costUsd: 20 } }),
   764→   764→  ])
   765→   765→
   766→   766→  // ── Mortality Records ──
   767→   767→  await Promise.all([
   768→   768→    prisma.poultryMortalityRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[0].id, date: new Date(Date.now() - 3 * 86400000), count: 15, cause: 'Heat stress', notes: 'Temperature spike in shed' } }),
   769→   769→    prisma.poultryMortalityRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[0].id, date: new Date(Date.now() - 10 * 86400000), count: 8, cause: 'Unknown / Sudden Death Syndrome' } }),
   770→   770→    prisma.poultryMortalityRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[1].id, date: new Date(Date.now() - 4 * 86400000), count: 25, cause: 'Respiratory infection' } }),
   771→   771→    prisma.poultryMortalityRecord.create({ data: { organizationId: poultryOrgId, flockId: flocks[2].id, date: new Date(Date.now() - 7 * 86400000), count: 3, cause: 'Age-related culling' } }),
   772→   772→  ])
   773→   773→
   774→   774→  // ── Production Records (for layer flock) ──
   775→   775→  for (let d = 0; d < 14; d++) {
   776→   776→    const date = new Date(today.getTime() - d * 86400000)
   777→   777→    await prisma.poultryProductionRecord.create({
   778→   778→      data: { organizationId: poultryOrgId, flockId: flocks[2].id, date, eggsCollected: 6200 + Math.floor(Math.random() * 400 - 200), totalWeightKg: 390 + Math.floor(Math.random() * 30 - 15), feedConversionRatio: 2.1 + Math.random() * 0.3 },
   779→   779→    })
   780→   780→  }
   781→   781→
   782→   782→  // ── Customers ──
   783→   783→  const customers = await Promise.all([
   784→   784→    prisma.poultryCustomer.create({ data: { organizationId: poultryOrgId, name: 'Metro Cash & Carry', phone: '+92-42-35761234', email: 'procurement@metro.pk', address: 'Lahore' } }),
   785→   785→    prisma.poultryCustomer.create({ data: { organizationId: poultryOrgId, name: 'Al-Fatah Store', phone: '+92-42-35876543', address: 'Gulberg, Lahore' } }),
   786→   786→    prisma.poultryCustomer.create({ data: { organizationId: poultryOrgId, name: 'Hashim Brothers', phone: '+92-300-9876543', address: 'Multan Road, Lahore' } }),
   787→   787→  ])
   788→   788→
   789→   789→  // ── Sales ──
   790→   790→  await Promise.all([
